# Logger type: CL3000
# HW rev: 7.2x
# FW rev: 5.78 / 4.00.03
# Logger ID: id001ezk
# Session No.: 15
# Split No.: 1
# Time: 20190425T172921
# Value separator: " "
# Time format: 5
# Time separator: ":"
# Time separator ms: ":"
# Date separator: "/"
# Time and date separator: " "
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp Type ID Data
04/25 17:29:21:540 1 42406c c08a00006000c00f
04/25 17:29:21:540 1 1000020 00000001cc04c000
04/25 17:29:21:542 1 62401e 02144440fa156400
04/25 17:29:21:542 1 80401e 06000366002a7a00
04/25 17:29:21:543 1 a20016 0139840000636400
04/25 17:29:21:543 1 f00006 000032000000e000
04/25 17:29:21:543 1 1400006 0000000003f30215
04/25 17:29:21:546 1 224024 1c48440013ff0000
04/25 17:29:21:546 1 e24026 000160408f000000
04/25 17:29:21:546 1 10004002 80000000c000c000
04/25 17:29:21:548 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:548 1 d00022 0000000000000000
04/25 17:29:21:550 1 42406c 006800006000c00f
04/25 17:29:21:550 1 1000020 00000001cc04c000
04/25 17:29:21:550 1 10600020 02538d004501aef0
04/25 17:29:21:552 1 62401e 02144440fa156400
04/25 17:29:21:552 1 80401e 1e000367002a7a00
04/25 17:29:21:553 1 a20016 0059840000636400
04/25 17:29:21:553 1 f00006 000032000000e000
04/25 17:29:21:553 1 1400006 0000000003f30215
04/25 17:29:21:553 1 1600012 c00005076e5dc81a
04/25 17:29:21:554 1 10800006 0080007f00000100
04/25 17:29:21:554 1 10c00002 0000102000000000
04/25 17:29:21:558 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:558 1 d00022 0000000000000000
04/25 17:29:21:560 1 224024 1848440013ff0000
04/25 17:29:21:560 1 e24026 000160408f000000
04/25 17:29:21:560 1 42406c 408800006000c00f
04/25 17:29:21:560 1 1000020 00000001cc04c000
04/25 17:29:21:561 1 10004002 80000000c000c000
04/25 17:29:21:561 1 10400020 c02947679b370db5
04/25 17:29:21:561 1 11220028 27400f3c0100342e
04/25 17:29:21:562 1 62401e 02144440fa156400
04/25 17:29:21:562 1 80401e 06000367002a7a00
04/25 17:29:21:562 1 a20016 0119840000636400
04/25 17:29:21:563 1 f00006 000032000000e000
04/25 17:29:21:563 1 1400006 0000000003f30215
04/25 17:29:21:568 1 c0402a 1ee4000027ffd3ff
04/25 17:29:21:568 1 d00022 0000000000000000
04/25 17:29:21:570 1 42406c 80a800006000c00f
04/25 17:29:21:570 1 1000020 00000001cc04c000
